aptId,aptBath,aptNoOfRooms,aptViews,aptAddedDate,aptEditedDate,aptLat,aptLng,aptURL,aptFloor,aptStoreys,aptTotalPrice,aptPricePerSqm,aptCeilingHeight,aptArea,aptBldgType,aptCondition,aptStreet,aptDistrict,aptRegion,aptFacilities,aptAdditionalFacilities,aptNewConstruction,aptFacilities_heating,aptFacilities_centralheating,aptFacilities_irrigation,aptFacilities_gas,aptFacilities_water,aptFacilities_hotwater,aptFacilities_air-conditioner,aptFacilities_internet,aptFacilities_water24/7,aptFacilities_electricity,aptFacilities_canalization,aptFacilities_sewerage,aptAdditionalFacilities_openbalcony,aptAdditionalFacilities_laminateflooring,aptAdditionalFacilities_roadside,aptAdditionalFacilities_grating,aptAdditionalFacilities_irondoor,aptAdditionalFacilities_elevator,aptAdditionalFacilities_park,aptAdditionalFacilities_attic,aptAdditionalFacilities_closetothebusstation,aptAdditionalFacilities_heatedfloor,aptAdditionalFacilities_gate,aptAdditionalFacilities_eurowindows,aptAdditionalFacilities_gym,aptAdditionalFacilities_bilateral,aptAdditionalFacilities_sauna,aptAdditionalFacilities_view,aptAdditionalFacilities_securitysystem,aptAdditionalFacilities_heater,aptAdditionalFacilities_swimmingpool,aptAdditionalFacilities_loggia,aptAdditionalFacilities_sunny,aptAdditionalFacilities_tile,aptAdditionalFacilities_furniture,aptAdditionalFacilities_storageroom,aptAdditionalFacilities_fireplace,aptAdditionalFacilities_playground,aptAdditionalFacilities_basement,aptAdditionalFacilities_buildingexistence,aptAdditionalFacilities_equipment,aptAdditionalFacilities_parquet,aptAdditionalFacilities_highfirstfloor,aptAdditionalFacilities_parking,aptAdditionalFacilities_fence,aptAdditionalFacilities_balcony,aptAdditionalFacilities_garage
94145,1,2,764,11.02.2020,31.08.2020,40.169255,44.5191853,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/94145,4,5,72000,1714,2.8,42,stone,good,kajaznuni st,center,yerevan,"sewerage,canalization,water,water24/7,electricity,internet,gas,heating","irondoor,closetothebusstation,view,sunny,eurowindows,openbalcony",0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92385,1,1,1257,16.01.2020,16.09.2020,40.1934943,44.5099146,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/92385,1,5,110000,2292,3,48,monolit,newly repaired,antarayin st,center,yerevan,"heating,internet,hotwater,electricity,air-conditioner,centralheating,gas,water,water24/7","furniture,equipment,eurowindows,openbalcony,tile,sunny,view,roadside,closetothebusstation,playground,park,elevator",1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
57911,1,1,2452,10.06.2018,11.09.2020,40.1792461,44.5095374,https://myrealty.am/en/1-bedroom/apartment-for-sale/Zakyan+St/Center/Yerevan/57911,1,5,90000,2195,3,41,stone,good,zakyan st,center,yerevan,"sewerage,canalization,water,water24/7,electricity,internet,hotwater,gas","irondoor,closetothebusstation,tile,basement",0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
96509,1,2,890,04.04.2020,12.09.2020,40.1771064,44.502793,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/96509,12,13,145000,3625,3,40,monolit,newly repaired,mashtots ave,center,yerevan,"heating,hotwater,gas","furniture,equipment,openbalcony,sunny,view",1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
99231,1,2,328,24.06.2020,31.08.2020,40.2032721,44.503252,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsruni+St/Arabkir/Yerevan/99231,10,14,65000,1161,2.8,56,panel,newly repaired,artsruni st,arabkir,yerevan,"heating,internet,hotwater,electricity,gas,water,water24/7","furniture,equipment,eurowindows,irondoor,loggia,balcony,tile,laminateflooring,parquet,sunny,view,bilateral,roadside,closetothebusstation,parking,playground,park,elevator",0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0
94227,1,2,1126,13.02.2020,11.09.2020,40.1711465,44.5197351,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/94227,8,9,50000,1250,2.8,40,panel,good,kajaznuni st,center,yerevan,"heating,gas,hotwater,electricity,water24/7,water,sewerage,canalization","furniture,equipment,elevator,tile,irondoor",0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
93247,1,1,1470,28.01.2020,21.09.2020,40.1968163,44.5087762,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/93247,4,6,105000,2763,3,38,monolit,newly repaired,antarayin st,center,yerevan,"heating,internet,air-conditioner,centralheating,electricity,water24/7,water","furniture,equipment,openbalcony,elevator,eurowindows,tile,sunny,irondoor",1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
98084,1,1,672,26.05.2020,21.09.2020,40.1939961,44.5090378,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/98084,8,8,98000,2450,3,40,monolit,newly repaired,antarayin st,center,yerevan,"heating,internet,hotwater,electricity,air-conditioner,gas,water,water24/7","furniture,equipment,eurowindows,tile,laminateflooring,sunny,view,roadside,closetothebusstation",1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
96604,1,2,1264,10.04.2020,12.09.2020,40.1830977,44.510417,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/96604,10,11,143500,3588,3,40,monolit,newly repaired,mashtots ave,center,yerevan,"","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54628,1,2,2212,19.03.2018,05.02.2020,40.1931459,44.473594,https://myrealty.am/en/2-bedroom/apartment-for-sale/Arzumanyan+St/Achapnyak/Yerevan/54628,3,9,65000,929,2.8,70,panel,newly repaired,arzumanyan st,achapnyak,yerevan,"water,water24/7,electricity,centralheating,internet,hotwater,gas,heating","irondoor,closetothebusstation,laminateflooring,tile,eurowindows,elevator",0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64128,1,1,2615,25.10.2018,10.09.2020,40.1773371,44.5074447,https://myrealty.am/en/1-bedroom/apartment-for-sale/Zakyan+St/Center/Yerevan/64128,10,11,on request,on request,2.8,42,panel,newly repaired,zakyan st,center,yerevan,"water,water24/7,electricity,internet,hotwater,gas,heating","irondoor,roadside,closetothebusstation,view,sunny,laminateflooring,tile,eurowindows,elevator,equipment,furniture",0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
94526,1,2,792,18.02.2020,30.08.2020,40.1688202,44.5204533,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/94526,7,10,62000,1550,2.8,40,panel,good,kajaznuni st,center,yerevan,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100238,1,1,416,15.07.2020,11.09.2020,40.1737796,44.5042197,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/100238,5,14,51000,1417,2.8,36,monolit,newly repaired,argishti st,center,yerevan,"heating,hotwater,sewerage,canalization,electricity,gas,water,water24/7","furniture,equipment,eurowindows,irondoor,openbalcony,tile,laminateflooring,securitysystem,roadside,closetothebusstation,elevator",1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
75486,1,1,1608,08.04.2019,11.09.2020,40.1788825,44.5092154,https://myrealty.am/en/1-bedroom/apartment-for-sale/Zakyan+St/Center/Yerevan/75486,4,5,80000,2222,3,36,stone,newly repaired,zakyan st,center,yerevan,"water,water24/7,electricity,hotwater,gas,heating","parking,playground,closetothebusstation,view,sunny,laminateflooring,tile,eurowindows,equipment,furniture",0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
60730,1,2,1429,17.08.2018,20.06.2020,40.2088566,44.5639379,https://myrealty.am/en/2-bedroom/apartment-for-sale/Avan+4+St+3+alley/Avan/Yerevan/60730,1,9,42500,590,2.8,72,panel,good,avan 4 st 3 alley,avan,yerevan,"sewerage,canalization,water,water24/7,gas","sunny,eurowindows,highfirstfloor,basement",0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
100243,1,1,479,15.07.2020,11.09.2020,40.1744247,44.502529,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/100243,2,14,55000,1571,3,35,monolit,newly repaired,argishti st,center,yerevan,"hotwater,electricity,gas,water,water24/7","furniture,eurowindows,irondoor,openbalcony,tile,parquet,sunny,view,closetothebusstation,playground,park,elevator",1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
96916,1,2,994,24.04.2020,09.09.2020,40.1830977,44.510417,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/96916,12,13,on request,on request,3,40,monolit,newly repaired,mashtots ave,center,yerevan,"heating,hotwater,electricity,gas,water,water24/7","furniture,equipment,eurowindows,irondoor,openbalcony,tile,laminateflooring,sunny,view,closetothebusstation,elevator",1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
94538,1,2,732,18.02.2020,01.09.2020,40.1688202,44.5204533,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/94538,7,10,62000,1550,2.8,40,panel,newly repaired,kajaznuni st,center,yerevan,"water,water24/7,electricity,centralheating,hotwater,gas,heating","tile,eurowindows,furniture",0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
